;id;DS.chainage;river;velocity;c;num_of_all_meas;num_of_vs;mean_bias;mean_uncrt;mean_rmse_sum;rmse_reg;rmse_raw;rmse_cval;rmse_daily;rmse_srd;rmse_sv;nse_reg;nse_raw;nse_cval;nse_daily;nse_srd;nse_sv
0;46395;91019,34388117172;Ganges;1,1526641546676561;0,032;517;8;2,028044505704506;0,28842940038684717;0,3971189555125726;0,4076;0,6136;0,2257;0,3538;0,2999;0,3646;0,9836;0,9629;0,9944;0,9866;0,9897;0,9869
1;15695;101490,65101365767;Ganges;1,7363192384421198;0,024;517;8;2,028044505704506;0,28842940038684717;0,3583744680851064;0,442;0,6037;0,198;0,4458;0,2964;0,4037;0,9818;0,9656;0,9946;0,9803;0,9898;0,9848
2;15776;71612,14097833431;Mississippi;2,112838806383627;0,02;1139;17;0,15235535173826076;0,08055750658472344;0,7140139596136962;0,5937;0,8075;0,229;0,3943;0,1528;0,5869;0,9475;0,9067;0,9906;0,975;0,9964;0,9487
3;36589;151098,53861604308;Mississippi;0,9478874216825873;0,042;1146;17;0,15354183017133613;0,08101047120418847;0,37260549738219895;0,4701;0,8486;0,0578;0,2929;0,114;0,4353;0,9704;0,9035;0,9995;0,9859;0,9982;0,9746
4;46320;157939,22547807146;Mississippi;1,1714821274720184;0,034;1138;17;0,15221627000873136;0,080701230228471;0,36282249560632696;0,4691;0,8221;0,0676;0,2681;0,1036;0,459;0,9695;0,9065;0,9994;0,9886;0,9985;0,9708
5;22886;36944,541852226415;Missouri;1,195241394639105;0,032;991;14;0,14215433341858597;0,10343693239152371;0,3451643794147326;0,3736;0,6566;0,0861;0,2516;0,1532;0,3716;0,9327;0,7973;0,9967;0,9664;0,9892;0,9334
6;19674;85733,6280691434;Missouri;0,9002008747642248;0,042;1776;25;0,13004320784589665;0,0992257882882883;0,655087894144144;0,4528;0,6447;0,1009;0,4076;0,1136;0,4371;0,9064;0,8178;0,996;0,9161;0,9949;0,9128
7;46345;99836,17324049988;Missouri;1,5774196524055883;0,024;1840;26;0,12803015327386116;0,09975978260869565;0,6615897282608696;0,4156;0,7587;0,1158;0,3689;0,1039;0,3912;0,9265;0,7551;0,9953;0,9383;0,9962;0,9349
8;46329;440051,65229952266;Missouri;1,437146722567114;0,028;1189;18;0,12953441622489528;0,08992430613961314;0,37430235492010094;0,293;0,418;0,0573;0,2301;0,122;0,292;0,9235;0,8443;0,9965;0,9487;0,9829;0,924
9;46337;491984,19095612864;Missouri;0,5919604132308012;0,068;2289;34;0,10818104060159571;0,09658977719528179;0,8100657929226737;0,3907;0,5534;0,1075;0,3905;0,1121;0,3829;0,8764;0,752;0,9872;0,8682;0,9859;0,8813
10;46336;549727,2737660359;Missouri;0,9363727283137425;0,044;2363;35;0,10938336858994502;0,10164155734236141;0,859758315700381;0,3616;0,3913;0,1183;0,3504;0,0864;0,3338;0,9125;0,8976;0,991;0,9175;0,9953;0,9255
11;17455;574122,8593943592;Missouri;1,2169536799431617;0,034;2330;35;0,09399150185966466;0,09864463519313305;0,8500485407725322;0,293;0,4457;0,1394;0,3008;0,1017;0,288;0,9383;0,8617;0,9861;0,9371;0,9934;0,9404
12;37033;597609,7943138188;Missouri;0,6391253969540132;0,066;2466;37;0,09373086981339755;0,09682116788321168;0,8968978102189781;0,313;0,4206;0,1043;0,3406;0,1063;0,2753;0,9331;0,8841;0,9939;0,9144;0,9937;0,9482
13;46364;676335,8239674255;Missouri;1,542962067998382;0,028;1183;17;0,08579596030308152;0,09941504649196957;0,3982811496196112;0,2625;0,3958;0,0759;0,2283;0,1073;0,2685;0,9531;0,8934;0,9968;0,966;0,9939;0,951
14;38445;934917,9300921223;Missouri;1,634537280524345;0,026;952;14;0,22206229289831603;0,09685084033613445;0,6786844537815127;0,4234;0,295;0,1781;0,3652;0,1176;0,3346;0,8832;0,9461;0,9839;0,918;0,9923;0,927
15;37301;1119818,2373035785;Missouri;1,9947887283735082;0,022;611;11;0,1918089078785176;0,08675613747954172;0,7281765957446807;0,3538;0,5092;0,2149;0,3319;0,1178;0,3822;0,8788;0,749;0,9665;0,8996;0,9881;0,8586
16;46217;78287,03637738184;Po;1,4538227504469692;0,024;1069;15;0,33716472454562146;0,10895884003741815;0,3538023386342376;0,4543;0,9873;0,0979;0,3262;0,1803;0,4516;0,9367;0,701;0,9976;0,9639;0,9909;0,9374
17;46221;114018,01273358069;Po;0,6100742903611648;0,06;1510;23;0,32463405887402985;0,12425496688741723;0,6064292715231788;0,5527;0,9876;0,1179;0,5236;0,3123;0,5044;0,9101;0,7128;0,9962;0,9097;0,9708;0,9251
18;46225;171852,2804483872;Po;1,2502348203723193;0,032;1393;21;0,3095151320213919;0,12897989949748745;0,6664025843503231;0,4728;1,124;0,2241;0,3938;0,2594;0,4762;0,946;0,6951;0,9873;0,9587;0,9808;0,9453
19;23876;200061,70532737562;Po;0,8541582204490006;0,046;1509;23;0,3245929432581755;0,12425115970841617;0,8103751491053678;0,6751;1,3789;0,1324;0,6685;0,2875;0,5907;0,893;0,523;0,9964;0,8795;0,9837;0,9181
20;46227;220907,08354902847;Po;1,5469454223673875;0,026;1509;23;0,3234028659586386;0,12409410205434065;0,9578134526176276;0,5871;1,0323;0,1514;0,4913;0,2979;0,5623;0,9168;0,7429;0,9949;0,9343;0,9775;0,9237
21;46232;270468,2411846031;Po;1,3729952098053426;0,03;1183;18;0,2887836220912734;0,13417836010143702;1,0494060016906168;0,6149;1,0422;0,1866;0,4495;0,2735;0,5623;0,8927;0,6917;0,9911;0,9397;0,9782;0,9103
22;14039;308347,71673388884;Po;1,607651469595507;0,024;686;9;0,22711217514575857;0,1266282798833819;0,6033233236151603;0,6213;0,8565;0,2135;0,4942;0,2655;0,6385;0,784;0,578;0,9751;0,835;0,9592;0,7719
23;41863;147714,4396594754;Rhine;0,9313545554122171;0,044;1869;21;0,09318544789098626;0,06849759229534512;0,35364521134296417;0,2979;0,6539;0,0421;0,2061;0,0699;0,2994;0,9641;0,8269;0,9991;0,9798;0,9976;0,9637
24;41905;185542,2744992548;Rhine;1,7653126445905698;0,024;2306;26;0,10090233618184957;0,07201474414570684;0,35669180398959244;0,3276;0,4458;0,0709;0,203;0,0873;0,2949;0,9604;0,9267;0,9981;0,9829;0,997;0,9679
25;41861;218037,67530584385;Rhine;1,352477955410459;0,032;2382;27;0,10184994857893105;0,0739101595298069;0,3120164987405541;0,3189;0,4876;0,0486;0,1692;0,0858;0,2852;0,9568;0,899;0,9989;0,9863;0,9964;0,9655
26;41931;255202,3656464955;Rhine;1,3742719463361526;0,032;2442;28;0,10103671753591216;0,07445536445536445;0,2685831695331696;0,2855;0,4231;0,031;0,1758;0,0845;0,2569;0,9622;0,917;0,9995;0,9842;0,9965;0,9694
27;42213;310050,6355811434;Rhine;1,3002209197614785;0,034;2592;30;0,10447053800952516;0,0754243827160494;0,3130411651234568;0,3242;0,7139;0,0384;0,2086;0,0878;0,2696;0,9515;0,765;0,9993;0,9786;0,9962;0,9665
28;41903;361011,36655822257;Rhine;1,4668347475618004;0,03;2307;27;0,10796572547754292;0,07920286085825748;0,35620502817511923;0,2685;0,4878;0,056;0,1939;0,0988;0,2798;0,9576;0,8601;0,9981;0,9768;0,9941;0,954
29;41900;439615,0889590909;Rhine;1,5767441890176945;0,028;1775;23;0,11690945836489976;0,08763830985915493;0,40856816901408455;0,2966;0,5668;0,0759;0,3026;0,2019;0,2679;0,941;0,7854;0,9958;0,9432;0,9706;0,9519
30;41899;448733,0573867012;Rhine;0,8533487225963807;0,052;1825;23;0,10687061764304265;0,08485698630136988;0,41466794520547945;0,3087;0,7157;0,0841;0,2798;0,1395;0,2862;0,937;0,6612;0,9955;0,9437;0,987;0,9458
31;41897;478239,2477053198;Rhine;1,2710293959440382;0,03;1068;14;0,10081585770958165;0,0765683520599251;0,22797649812734083;0,1529;0,416;0,0417;0,1143;0,1319;0,1654;0,9622;0,7196;0,9973;0,979;0,9711;0,9557
32;46148;499137,6826820462;Rhine;1,6882845772450268;0,024;1363;17;0,0993555325485558;0,08268598679383712;0,2375573000733676;0,1997;0,2527;0,0863;0,1716;0,0881;0,2102;0,95;0,92;0,9917;0,9644;0,9913;0,9447
33;41893;555161,3104702845;Rhine;0,8917956494485582;0,042;1612;20;0,12520985342358895;0,08123821339950374;0,26183560794044664;0,2416;0,3686;0,0526;0,1856;0,0769;0,2324;0,9548;0,8947;0,9982;0,9723;0,996;0,9581
34;41865;598357,646958985;Rhine;0,6737432709738146;0,056;1492;17;0,12641204390434055;0,08289142091152815;0,2912363941018767;0,293;0,5453;0,069;0,2498;0,078;0,2814;0,933;0,768;0,9968;0,951;0,9956;0,9382
35;41891;636723,4951453801;Rhine;1,2147533126860384;0,034;956;11;0,14525872396392833;0,08906903765690377;0,25385251046025104;0,2278;0,3772;0,0601;0,1681;0,0901;0,2194;0,9437;0,8457;0,9964;0,9702;0,9911;0,9478
36;41927;228129,8234030728;Elbe;1,1675673150942487;0,026;1214;15;0,07708091054806217;0,08072899505766064;0,25197578253706754;0,1715;0,1653;0,039;0,1596;0,083;0,1674;0,9825;0,9835;0,999;0,9834;0,9957;0,9833
37;41925;312229,81276551547;Elbe;0,9154060165176637;0,036;1566;19;0,07803425902008487;0,09093486590038316;0,28412094508301405;0,1532;0,6594;0,0611;0,1427;0,0504;0,1518;0,9826;0,6786;0,9965;0,9826;0,9976;0,983
38;41855;346434,46845029754;Elbe;0,929687899199061;0,036;1485;19;0,08161621294540056;0,10123501683501683;0,2803124579124579;0,1383;0,1725;0,0435;0,1173;0,0936;0,1471;0,9829;0,9734;0,9983;0,9857;0,9921;0,9807
39;41882;455295,5836026555;Elbe;1,2701845639065668;0,028;2966;39;0,07809023290427197;0,11079265003371544;0,6803926163182737;0,2298;0,2077;0,1033;0,202;0,0651;0,2125;0,9585;0,9661;0,9918;0,9617;0,9968;0,9645
40;41945;548572,3838389295;Elbe;1,0875578624698017;0,034;1270;17;0,08023135305076148;0,12917874015748032;0,28450401574803147;0,2063;0,2998;0,0677;0,1646;0,0796;0,1911;0,9639;0,9238;0,9956;0,9724;0,9938;0,969
41;41885;567037,826478596;Elbe;0,7713260955200222;0,048;1365;19;0,0800107548922154;0,12869230769230772;0,3022986813186813;0,2394;0,1828;0,0539;0,173;0,0824;0,2224;0,9574;0,9751;0,9979;0,9724;0,995;0,9632
42;41918;613135,4362074754;Elbe;1,1113002460435062;0,034;1456;20;0,08324748292163098;0,13938118131868132;0,33131119505494505;0,2238;0,2276;0,061;0,1925;0,0734;0,2003;0,9688;0,9678;0,9979;0,9726;0,9969;0,975
43;41887;712074,4162252684;Elbe;1,2494811256534064;0,032;758;11;0,08551563195616195;0,15534036939313986;0,22515408970976253;0,2152;0,2909;0,0695;0,1319;0,1003;0,2071;0,9532;0,9146;0,9963;0,9802;0,9919;0,9567
44;42214;173586,2169616771;Oder;0,7728130009643385;0,034;496;7;0,08859632296463443;0,08223790322580646;0,08126895161290322;0,1089;0,2111;0,0267;0,0799;0,0611;0,1216;0,9825;0,9343;0,9988;0,9891;0,9936;0,9782
45;41866;234513,3393847275;Oder;1,15160406033445;0,032;994;11;0,0848610053298643;0,11944869215291751;0,16473289738430583;0,1429;0,1552;0,0378;0,1086;0,0698;0,1386;0,9663;0,9603;0,9975;0,9788;0,9912;0,9684
46;42224;286057,9769483367;Oder;0,9739519966521227;0,038;1864;21;0,11564914964939503;0,12689753218884123;0,4130666845493562;0,1815;0,2003;0,1059;0,1757;0,1141;0,1716;0,9576;0,9484;0,9861;0,9544;0,9832;0,9621
47;42305;326460,34372443985;Oder;1,2310485348019908;0,03;1378;16;0,08477532797762112;0,1135957910014514;0,31163592162554427;0,1404;0,1995;0,0766;0,1355;0,0636;0,138;0,9744;0,9483;0,9924;0,9734;0,9946;0,9753
48;23410;483182,6678917009;Oder;1,6940654488500737;0,022;1859;21;0,11546754564412742;0,12657557826788596;0,8658680473372782;0,3807;0,3698;0,2403;0,3678;0,1954;0,3301;0,8394;0,849;0,9446;0,8306;0,9538;0,8793
